site_name,site_address,site_city,site_state,site_zip_code,latitude,longitude,animal_type,total_no_of_animals,total_no_of_animal_units,name
len rose farm,6188a old route 22,bernville,pa,NA,40.463938,-76.127255,chicken,NA,NA,len rose farm
leonard howard,5970 landon store rd,marion,md,21838,38.0461340433409,-75.7435139690033,chicken,42800,NA,leonard howard
lester farms,cr 57 near stump road intersection,brantley,al,NA,31.6475,-86.185,chicken,NA,NA,lester farms
leuschen poultry operation,1175 dairy circle,crane,mo,65633,36.866921772,-93.503359216,chicken,144000,1152,leuschen poultry operation
"levi hayman/makin' memories farm, llc",12919 holly road,greensboro,md,21639,38.9614809,-75.8339341,chicken,144000,NA,levi haymanmakin memories farm llc
levon wootten,151 county road 718,ider,al,35981,34.729162,-85.652483,chicken,NA,NA,levon wootten
lick creek farms,373 milligan road,falkville,al,35622,34.31334,-86.81837,chicken,NA,NA,lick creek farms
lil e farm,25398 hwy 71,flat rock,al,35966,34.806667,-85.664167,chicken,NA,NA,lil e farm
lil peckers,21300 lawrence 1050,pierce city,mo,65723,36.976717963,-93.994270893,chicken,194116,1553,lil peckers
lincoln county egg farm,1035 hwy d,hawk point,mo,63349,39.009554584,-91.13090397,chicken,1300000,43334,lincoln county egg farm
linda mason farm,46 gene brown road,boaz,al,35957,34.15648,-86.23577,chicken,NA,NA,linda mason farm
linda morris/noble meadows farm,13291 church lane,cordova,md,21625,38.9164331,-76.0115721,chicken,120000,NA,linda morrisnoble meadows farm
linh tran farm,32310 dublin rd,princess anne,md,21853,38.1634384,-75.6344426,chicken,300000,NA,linh tran farm
linus martin ag. facility,736 hess road,mifflinburg,pa,NA,40.86006,-77.02217,chicken,NA,NA,linus martin ag facility
little arrow farms-cafo,321 lyter road,bronson,mi,NA,41.929875,-85.26345,chicken,NA,NA,little arrow farmscafo
little river farms inc,2031 co rd 110,graham,al,NA,33.475556,-85.3675,chicken,NA,NA,little river farms inc
livingston farms,129 livingstone lane,gordo,al,NA,33.36349,-87.87828,chicken,NA,NA,livingston farms
lloyd gaugler sr./kanalat farm,4042 smithville rd,federalsburg,md,21632,38.7179912283469,-75.7728116208694,chicken,99000,NA,lloyd gaugler srkanalat farm
lloyd shell farm,473 brushy creek road,georgiana,al,36033,31.66452,-86.66762,chicken,NA,NA,lloyd shell farm
lo farm,hwy. w,wheaton,mo,64874,36.759360978,-94.034778144,chicken,138400,1107,lo farm
lo farm,hwy w,wheaton,mo,NA,36.759361,-94.034778,chicken,NA,NA,lo farm
loftin poultry farm,3611 county road 4,fort deposit,al,36047,31.975891,-86.434926,chicken,NA,NA,loftin poultry farm
log creek poultry,4883 county road 6600,troy,al,36081,31.931389,-85.8675,chicken,NA,NA,log creek poultry
loggins poultry,7366 nixon chapel road,horton,al,35980,34.209654,-86.38257,chicken,NA,NA,loggins poultry
lohmeyer's farm inc. (expansion),11169 knife box rd,denton,md,21629,38.9137083,-75.7447557,chicken,77000,NA,lohmeyers farm inc expansion
long farms,680 county road 29,abbeville,al,36310,31.625595,-85.284913,chicken,NA,NA,long farms
"long farms, inc.",10107 s cr 49,slocumb,al,36375,31.023333,-85.555556,chicken,NA,NA,long farms inc
long ranch,3935 farm road 2140,exeter,mo,65647,36.729397004,-93.998693262,chicken,196740,1574,long ranch
"long, larry",943 highway 60,monett,mo,65708,36.906719421,-93.872531394,chicken,132000,1056,long larry
"longridge farm, llc",32579 longridge rd,parsonsburg,md,21849,38.3704500623601,-75.4891112355361,chicken,50000,NA,longridge farm llc
lonnie lester farm,1911 rutledge loop rd.,luverne,al,36049,31.6978,-86.31005,chicken,NA,NA,lonnie lester farm
look out farm,16238 hwy o,sedalia,mo,65301,38.835943947,-93.098650478,chicken,199200,1594,look out farm
lorene hughes farm,3959 county road 326,ider,al,35966,34.729162,-85.652483,chicken,NA,NA,lorene hughes farm
love farms,835 old rocky ridge road,jacksonville,al,36265,33.84123,-85.69413,chicken,NA,NA,love farms
lovvorn farms,10917 county road 59 woodland al,woodland,al,NA,33.30572,-85.39869,chicken,NA,NA,lovvorn farms
luan ngoc nguyen/myca nguyen,28586 mt vernon rd,princess anne,md,21853,38.2338802,-75.7581349,chicken,110000,NA,luan ngoc nguyenmyca nguyen
luke gary farm,122 mcminn road,guntersville,al,35976,34.381002,-86.374883,chicken,NA,NA,luke gary farm
"lunsford and lunsford farms, inc.",878 county road 743,enterprise,al,36330,31.361877,-85.793687,chicken,NA,NA,lunsford and lunsford farms inc
lykou lee,687 hottel springs rd,seneca,mo,64865,36.744436574,-94.580555395,chicken,130000,1040,lykou lee
lynn farms,241 lynn drive,nauvoo,al,35578,33.98682,-87.60141,chicken,NA,NA,lynn farms
lynn farms,6881 dogtown road,nauvoo,al,35578,33.95916,-87.5755,chicken,NA,NA,lynn farms
lynn farms,gin creek rd.,goshen,al,36035,31.706111,-86.205278,chicken,NA,NA,lynn farms
m & c poultry farm,1306 county road 143,town creek,al,35672,34.64815,-87.4366,chicken,NA,NA,m  c poultry farm
"m & j farms, llc",3265 county highway 53,hackleburg,al,35564,34.291967,-87.873262,chicken,NA,NA,m  j farms llc
m & s farm,1746 county road 6,heflin,al,NA,33.58764,-85.66803,chicken,NA,NA,m  s farm
m & t farms,1587 county road 420,elba,al,36323,31.338056,-86.145556,chicken,NA,NA,m  t farms
m. rawlings nelson jr. inc./rawlings nelson farm,10373 stewart neck rd,princess anne,md,21853,38.1649917540847,-75.7200129183891,chicken,53000,NA,m rawlings nelson jr incrawlings nelson farm
m-8 enterprises llc,12836 harrison road,versailles,mo,65084,38.502018988,-92.824899265,chicken,192000,1536,m8 enterprises llc
macaroni farms,864 bradford road,samson,al,36477,31.044017,-86.119174,chicken,NA,NA,macaroni farms
macgregor farm,2151 county road 477,samson,al,36453,31.233056,-86.071389,chicken,NA,NA,macgregor farm
maddox farms,244 calico drive,letohatchee,al,36047,32.0627,-86.39341,chicken,NA,NA,maddox farms
mahe farm/mohammad nasir,2700 klej grange rd,pocomoke city,md,21851,38.0894639360653,-75.4640003570849,chicken,217000,NA,mahe farmmohammad nasir
majid aroom/caspian farm,5890 harmony rd,preston,md,21655,38.7690382,-75.8826099,chicken,100000,NA,majid aroomcaspian farm
majid aroom/wynne farm,7347 harmony road,preston,md,21655,38.8070502,-75.8603213,chicken,100000,NA,majid aroomwynne farm
mal-cat farms,310 sun valley drive,anniston,al,36207,33.7041,-85.67867,chicken,NA,NA,malcat farms
maple leaf farms downy duck farm,24830 washington ave,kansasville,wi,NA,42.74169,-88.13484,chicken,NA,NA,maple leaf farms downy duck farm
marbury w. perdue iii/borrowed from god,7420 mccabes corner rd,snow hill,md,21863,38.1434342,-75.3277892,chicken,96000,NA,marbury w perdue iiiborrowed from god
marc r. clopper (marc & cindy clopper),23513 thawley road,denton,md,21629,38.8914211967797,-75.8876641077084,chicken,60000,NA,marc r clopper marc  cindy clopper
margaret g. boyle/hemsley park and pb & j farms,326 charles i boyle rd,queen anne,md,21657,38.9428209,-76.017625,chicken,134000,NA,margaret g boylehemsley park and pb  j farms
"mar-hollow farms, inc",5986 snow hill rd,snow hill,md,21863,38.2029699859435,-75.4418992328495,chicken,110000,NA,marhollow farms inc
maria tran,12300 palmetto church rd,princess anne,md,21853,38.2135081,-75.6537037,chicken,170000,NA,maria tran
mark a. sanders farm,2028 co. rd. 107,jack,al,36010,31.553178,-85.998812,chicken,NA,NA,mark a sanders farm
mark andrews farm,360 cr 33,louisville,al,36048,31.7575,-85.543333,chicken,NA,NA,mark andrews farm
mark eck/dad's farm,851 bridgetown rd,henderson,md,21640,39.0561813,-75.8878327,chicken,71000,NA,mark eckdads farm
mark eck/eck farm (expansion),450 ell morris rd,henderson,md,21640,39.0828811,-75.8519446,chicken,188000,NA,mark eckeck farm expansion
"mark harding, a. joseph bartenfelder, jr., james w. bartenfelder/bartenfelder poultry",4421 preston rd,hurlock,md,21643,38.6915805,-75.8848029,chicken,48000,NA,mark harding a joseph bartenfelder jr james w bartenfelderbartenfelder poultry
mark holland/home & shay farms,1924 new bridge rd,pocomoke city,md,21851,38.0124326,-75.5685019,chicken,115000,NA,mark hollandhome  shay farms
mark knox farm,523 gin creek rd.,goshen,al,36035,31.719871,-86.197357,chicken,NA,NA,mark knox farm
mark monath/mark & brenda monath,6351 jones corner rd,denton,md,21629,38.7774502,-75.8079088,chicken,123000,NA,mark monathmark  brenda monath
mark nguyen,33361 melson rd,delmar,md,21875,38.4378942,-75.4530844,chicken,254000,NA,mark nguyen
mark r sump farm,11089 kitty's corner's rd,cordova,md,21625,38.8552776,-75.9845426,chicken,90000,NA,mark r sump farm
mark s drew/ mitchell a drew,10821 st. matin neck rd,bishopville,md,21813,38.42518,-75.18526,chicken,93000,NA,mark s drew mitchell a drew
mark s. callahan,23204 shore hwy,denton,md,21629,38.9191324,-75.9013122,chicken,68000,NA,mark s callahan
marlin sensenig (new construction),8895 andersontown road,denton,md,21629,38.8516704,-75.7802057,chicken,156400,NA,marlin sensenig new construction
"marshall durbin farms, inc.",5865 county road 20,haleyville,al,NA,34.170404,-87.606565,chicken,NA,NA,marshall durbin farms inc
marshall's seafood & farming inc.,6490 charles cannon rd,marion station,md,21838,38.0571773,-75.7723482,chicken,110000,NA,marshalls seafood  farming inc
martin and linda hardage poult,highway 25 north,carthage,ms,NA,32.861722,-89.449778,chicken,NA,NA,martin and linda hardage poult
martin cheesman,4288 laurel grove rd,federalsburg,md,21632,38.7258869,-75.8152804,chicken,48000,NA,martin cheesman
"martin e. collison, jr./ marzel farm",13256 kibler rd,greensboro,md,21639,38.9725597,-75.7685963,chicken,168000,NA,martin e collison jr marzel farm
martin farm,36454 hwy 77,goodwater,al,36251,33.043326,-86.054795,chicken,NA,NA,martin farm
martin vitelli/knew farm,33210 perryhawkin rd,princess anne,md,21853,38.1777891,-75.6011484,chicken,175000,NA,martin vitelliknew farm
marty wootten,271 county road 778,ider,al,35981,34.74053,-85.6361,chicken,NA,NA,marty wootten
marvin mountain poultry-cafo,27095 marvin rd,centreville,mi,NA,41.9337,-85.428210000000007,chicken,NA,NA,marvin mountain poultrycafo
marvin stephens/stephens and c & j farm,8911 marshall creek rd,newark,md,21841,38.2448363,-75.2705144,chicken,115000,NA,marvin stephensstephens and c  j farm
mary ann rutt farm,524 north garfield rd,bernville,pa,NA,40.438866,-76.070758,chicken,NA,NA,mary ann rutt farm
mason valley farm,9404 true rd,bentonville,ar,NA,36.30469,-94.3498,chicken,NA,NA,mason valley farm
"mathis farm and ray mathews farm, inc.",1745 cr 617,enterprise,al,NA,31.280367,-85.947924,chicken,NA,NA,mathis farm and ray mathews farm inc
matt martin poultry operation,1830 kenbrook road,"swatara, township of",pa,NA,40.38387,-76.43216,chicken,NA,NA,matt martin poultry operation
matthew p. manship (new construction),23663 grove rd,preston,md,21655,38.7516695,-75.8900734,chicken,134400,NA,matthew p manship new construction
matthew tull/eldorado farm,6240 eldorado federalsburg road,hurlock,md,21643,38.63816,-75.86254,chicken,90000,NA,matthew tulleldorado farm
matthew webster (new construction),27775 oriole rd,princess anne,md,21853,38.1794619,-75.7862612,chicken,77280,NA,matthew webster new construction
max stuckey farm,6402 george riggin rd,westover,md,21871,38.0567111,-75.680794,chicken,77000,NA,max stuckey farm
mayfield farm,30546 county road 49,fruithurst,al,36262,33.841595,-85.461937,chicken,NA,NA,mayfield farm
maze farm inc.,2030 county highway 14,horton,al,35980,34.11481,-86.44252,chicken,NA,NA,maze farm inc
mccaghren farms,1380 county road 16,danville,al,35619,34.389335,-87.109954,chicken,NA,NA,mccaghren farms
mccool farm,390 mccool road,gordo,al,35466,33.43784,-87.89864,chicken,NA,NA,mccool farm
mccullough farms,county road 68,highland home,al,36046,31.886944,-86.378889,chicken,NA,NA,mccullough farms
mccurdy brothers,mccurdy dairy road,lowndesboro,al,36752,32.279444,-86.633333,chicken,NA,NA,mccurdy brothers
mcduffa poultry farm,county road 31,hodges,al,35571-3612,34.31704,-87.90677,chicken,NA,NA,mcduffa poultry farm
"mcelrath farms, llc",1200 kuykendall road,albertville,al,35951,34.26739,-86.15584,chicken,NA,NA,mcelrath farms llc
mckuin farms,2320 state highway 25 s,bernie,mo,63822,36.648968054,-89.968203318,chicken,192000,1536,mckuin farms
mclean's farm,1361 high pine rd,oxford,al,36261,33.569667,-85.82214,chicken,NA,NA,mcleans farm
mcrae poultry farms,county road 22,clio,al,36017,31.72672,-85.58811,chicken,NA,NA,mcrae poultry farms
meadow lane dairy,3392 blue rock road,lancaster,pa,NA,40.009059,-76.395381,chicken,NA,NA,meadow lane dairy
meadows farm,county road 473,woodland,al,36280,33.4475,-85.451389,chicken,NA,NA,meadows farm
meadowview farm,new sadler road,lowndesboro,al,36752,32.315278,-86.616944,chicken,NA,NA,meadowview farm
melvin taylor farm,7796 old stage road,clanton,al,NA,31.947778,-86.608333,chicken,NA,NA,melvin taylor farm
michael a. lesniowski/h.d. myles farms,530 carter rd,church hill,md,21623,39.1023503,-75.8972036,chicken,202000,NA,michael a lesniowskihd myles farms
michael a. lesniowski/h.d. myles/barclay farm (new construction),714 goldsboro rd,barclay,md,21607,39.1601392,-75.8670711,chicken,268800,NA,michael a lesniowskihd mylesbarclay farm new construction
michael c. zidanic/zidanic farm,5679 powellville rd,willards,md,21850,38.3457509,-75.3657845,chicken,53800,NA,michael c zidaniczidanic farm
michael dorriety farm,duncan road,hartford,al,36344,31.03094,-85.6739,chicken,NA,NA,michael dorriety farm
michael hall farms,across the road from 4141 co rd 356,groveoak,al,NA,34.418333,-86.081111,chicken,NA,NA,michael hall farms
michael l. butler,4400 shelltown rd,marion,md,21838,38.0009600207737,-75.6417331785937,chicken,180000,NA,michael l butler
michael lembeck/rocking l. ranch,35094 wango rd,pittsville,md,21850,38.3173791,-75.3963497,chicken,78300,NA,michael lembeckrocking l ranch
michael lesniowski,826 roberts station road,church hill,md,21623,39.1175915,-75.9411771,chicken,288000,NA,michael lesniowski
michael reuwer/reuwer's roost/empty pockets,26365 line rd,denton,md,21629,38.8205231,-75.7927729,chicken,86000,NA,michael reuwerreuwers roostempty pockets
michael wienhaus,1463 highway u,clifton hill,mo,65244,39.382039762,-92.690493679,chicken,NA,1984,michael wienhaus
michelle littleton/koby's acres,8355 ironshire station rd,berlin,md,21811,38.3142878,-75.2807148,chicken,89000,NA,michelle littletonkobys acres
michelle protani-chesnik/purgatory farm,8128 green lewis rd,willards,md,21874,38.4121024,-75.3339629,chicken,82000,NA,michelle protanichesnikpurgatory farm
midway colony,6049 healy spring rd,brady,mt,NA,48.064149,-112.005236,chicken,NA,NA,midway colony
mike & nancy donoway farm,6679 worchester hwy,newark,md,21841,38.2371454,-75.3146912,chicken,59400,NA,mike  nancy donoway farm
mike cassel farm,259 auction road,manheim,pa,NA,40.13861,-76.39061,chicken,NA,NA,mike cassel farm
mike james,10253 state hwy tt,dudley,mo,63936,36.763328711,-90.100366919,chicken,277000,2216,mike james
mike lucariello,346 racoon road,stella,mo,64867,36.733383358,-94.234351948,chicken,239000,1912,mike lucariello
mike lucariello,1175 n raccoon rd.,stella,mo,64867,36.747218573,-94.240146276,chicken,196000,1568,mike lucariello
mildred m. parker/wesley parker farm,30688 zion rd,salisbury,md,21804,38.3983758,-75.5484345,chicken,50000,NA,mildred m parkerwesley parker farm
milford farm,4994 cowpens road,alexander city,al,35010,33.02128,-85.83932,chicken,NA,NA,milford farm
milk n whey,route 1,stella,mo,64867,36.777660104,-94.162442881,chicken,196000,1568,milk n whey
miller farm,good hope delta road,delta,al,36258,33.439329,-85.709771,chicken,NA,NA,miller farm
miller farms,2835 county road,collinsville,al,35961,34.2175,-85.830556,chicken,NA,NA,miller farms
"miller poultry, llc",irvin lane,boaz,al,35952,34.127778,-86.348889,chicken,NA,NA,miller poultry llc
miller poultry-cafo,774 greenfield road,bronson,mi,NA,41.75963,-85.18947,chicken,NA,NA,miller poultrycafo
milton lee west,11207 st. martins neck rd,bishopville,md,21813,38.4270736,-75.1698166,chicken,73000,NA,milton lee west
milton lee west jr./milton lee west farm,10955 saint martins neck rd,bishopville,md,21813,38.434844,-75.1788051,chicken,240000,NA,milton lee west jrmilton lee west farm
minh do/chance and critcher and skylar farm,3647 payne rd,pocomoke city,md,21851,38.0084602,-75.4960886,chicken,158000,NA,minh dochance and critcher and skylar farm
minh v. ma/green farm,2310 worcester hwy,pocomoke city,md,21851,38.087722,-75.515562,chicken,96000,NA,minh v magreen farm
minh v. ma/meatball farm,3206 byrd rd,pocomoke city,md,21851,38.0711424,-75.5201488,chicken,42000,NA,minh v mameatball farm
minh vinh/torchick farm,31584 college backbone rd,princess anne,md,21853,38.2192601,-75.6587828,chicken,288000,NA,minh vinhtorchick farm
minh vinh/vinh bao le farm (expansion),1905 five bridges rd,snow hill,md,21863,38.187995,-75.549392,chicken,530000,NA,minh vinhvinh bao le farm expansion
minh vo,8830 calloway rd,willards,md,21874,38.4319151,-75.395209,chicken,100000,NA,minh vo
missouri egg farm,23177 e. 300th lane,ridgeway,mo,64481,40.376535216,-93.860244886,chicken,810000,27000,missouri egg farm
mixon farm,1818 asbury church rd,pine apple,al,36768,31.734167,-86.991111,chicken,NA,NA,mixon farm
mohammad arshad/ch. fateh & j. kasana farm,35345 e. line rd,willards,md,21874,38.452005594758504,-75.3869065497239,chicken,145800,NA,mohammad arshadch fateh  j kasana farm
mohammad iqbal/pinewood ranch,4629 nassawango rd,snow hill,md,21863,38.1655779,-75.4450476,chicken,268000,NA,mohammad iqbalpinewood ranch
mohammad nasir/aksmah llc,2648 ward rd,girdletree,md,21829,38.09242,-75.39767,chicken,288000,NA,mohammad nasiraksmah llc
mohammad nawaz/umar farm,6629 bowden rd,newark,md,21841,38.2329603,-75.2795362,chicken,71000,NA,mohammad nawazumar farm
"mohammed chauldry/faisal farm, llc",5979 federalsburg hwy,federalsburg,md,21632,38.7707516,-75.7826648,chicken,62500,NA,mohammed chauldryfaisal farm llc
monie bay farms incorporated,26955 fitzgerald rd,princess anne,md,21853,38.1899846866541,-75.8183591382925,chicken,73000,NA,monie bay farms incorporated
montgomery farm,11260 highway 48,russellville,al,NA,34.561042,-87.544016,chicken,NA,NA,montgomery farm
"morgan ellis farms, inc.",29455 shoal creek road,lester,al,35647,34.96894,-87.085146,chicken,NA,NA,morgan ellis farms inc
morgan family farms llc,3188 morgan mill rd.,dozier,al,36009,31.45072,-86.25684,chicken,NA,NA,morgan family farms llc
morgan farms,3721 horton nixon chapel road,horton,al,35980,34.199245,-86.355184,chicken,NA,NA,morgan farms
"morgan mill poultry houses, llc",5295 federalsburg hwy,federalsburg,md,21632,38.7513057,-75.7860287,chicken,40000,NA,morgan mill poultry houses llc
morning star farm,1280 winfrey road,boaz,al,35957,34.17294,-86.27978,chicken,NA,NA,morning star farm
morning star farm,215 county rd. 400,dutton,al,35744,34.594217,-85.87873,chicken,NA,NA,morning star farm
morris farm,1365 county road 22,ashville,al,35953,33.725684,-86.331633,chicken,NA,NA,morris farm
morrow farm,cr 38 of off hwy 84,opp,al,36467,31.322222,-86.217222,chicken,NA,NA,morrow farm
moseley farms,1727 naftel-ramer road,ramer,al,36069,32.02348,-86.22665,chicken,NA,NA,moseley farms
moseley farms,1652 county road 123 (issac byrd road),ozark,al,NA,31.464648,-85.704607,chicken,NA,NA,moseley farms
mossy grove farms,3241 county road 11,ariton,al,36311,31.534829,-85.71705,chicken,NA,NA,mossy grove farms
mo-tex farms,8788 fr 1035,purdy,mo,65734,36.806498216,-93.999615151,chicken,295950,2368,motex farms
mount farms,little horse creek road,rutledge,al,36071,31.703056,-86.388056,chicken,NA,NA,mount farms
mountain top farm,11458 al highway 101,town creek,al,NA,34.621224,-87.414216,chicken,NA,NA,mountain top farm
mountaire farms of delaware,29106 john j williams hwy,millsboro,de,NA,38.6011,-75.2629,chicken,NA,NA,mountaire farms of delaware
mp6 farms llc,425 delta street,dothan,al,36350,31.311457,-85.511139,chicken,NA,NA,mp6 farms llc
ms ivy farms,447 forman bottoms road,somerville,al,35670,34.4027,-86.62249,chicken,NA,NA,ms ivy farms
"mud creek broiler farms, llc",391 jackson trace,altoona,al,35952,33.986523,-86.33039,chicken,NA,NA,mud creek broiler farms llc
mulford farms inc.,17942 lawrence 2185,aurora,mo,65605,37.008605641,-93.738613395,chicken,137400,1099,mulford farms inc
"mullins farms, llc",county road 58,union springs,al,36089,32.01142,-85.83516,chicken,NA,NA,mullins farms llc
muoi tran/than huu farm,8040 dividing creek rd,pocomoke,md,21851,38.1001986,-75.5577123,chicken,164000,NA,muoi tranthan huu farm
murphree valley farms,171 buckner mill road,oneonta,al,35121,33.992898,-86.423824,chicken,NA,NA,murphree valley farms
"murphy's crusting, inc./robert's farm",5624 sharptown road,rhodesdale,md,21659,38.5700104,-75.7570989,chicken,172000,NA,murphys crusting incroberts farm
murphys poultry farm,1800 beagle road,boaz,al,35956,34.11989,-86.27601,chicken,NA,NA,murphys poultry farm
murray farms inc/porter mill farm,26315 porter mill rd,hebron,md,21830,38.4311393,-75.6993102,chicken,54400,NA,murray farms incporter mill farm
"murray farms, inc./dividing road & kelrin farms",4700 dividing rd,salisbury,md,21801,38.324766,-75.665299,chicken,141500,NA,murray farms incdividing road  kelrin farms
mushtaq a. kayani/amir afzal farms llc,5132 clark canning house rd,federalsburg,md,21632,38.677497,-75.7993827,chicken,56500,NA,mushtaq a kayaniamir afzal farms llc
myron martin poultry operation,645 swamp church road,"west cocalico, township of",pa,NA,40.28323,-76.12732,chicken,NA,NA,myron martin poultry operation
myung kim farm,2535 lakesville crapo rd,crapo,md,21626,38.3207283,-76.1195461,chicken,47000,NA,myung kim farm
nadeem ashraf/ easton farm llc (expansion),24425 pinetown rd,preston,md,21655,38.7962323,-75.857104,chicken,315000,NA,nadeem ashraf easton farm llc expansion
nadine l. farris farm,8528 highway 134,elba,al,36323,31.295278,-86.068889,chicken,NA,NA,nadine l farris farm
natalie overholt/nellie overholt farm,7208 mennonite church rd,westover,md,21871,38.0777236,-75.6579461,chicken,75000,NA,natalie overholtnellie overholt farm
"native enterprises, llc",810 brick schoolhouse rd,centreville,md,21617,39.0968391,-76.025038,chicken,66000,NA,native enterprises llc
neil sutton farm,highway 51,ariton,al,36311,31.6322,-85.6799,chicken,NA,NA,neil sutton farm
nelson farm,195 taylor nelson road,falkville,al,35622-7818,34.376637,-86.788411,chicken,NA,NA,nelson farm
nelson poultry,flush rd x walker rd,manhattan,ks,NA,39.195935,-96.585546,chicken,NA,NA,nelson poultry
nelson poultry farms inc. - main facility,8530 east us highway 24,manhattan,ks,NA,39.19602,-96.51656,chicken,NA,NA,nelson poultry farms inc  main facility
"neshoba county fair association, neshoba county fairgrounds",1680 highway 21 south,philadelphia,ms,NA,32.864611,-88.947444,chicken,NA,NA,neshoba county fair association neshoba county fairgrounds
new farm,mount moriah road,delta,al,36258,33.42,-85.664444,chicken,NA,NA,new farm
new miami colony,400 new miami road,conrad,mt,NA,48.1134,-112.1721,chicken,NA,NA,new miami colony
newton bui/vina cao (expansion),8440 courthouse hill rd,pocomoke city,md,21851,38.1110565,-75.5649243,chicken,368500,NA,newton buivina cao expansion
nguyen farms,1160 rutledge loop,luverne,al,36049,31.71012,-86.30905,chicken,NA,NA,nguyen farms
nichols farm,co rd 879,collinsville,al,35961,34.24,-85.93,chicken,NA,NA,nichols farm
nick maples farm,797 niles road,boaz,al,35957,34.205887,-86.21488,chicken,NA,NA,nick maples farm
nick n. vang,18452 channing lane,diamond,mo,64840,37.016360051,-94.307251661,chicken,216000,1728,nick n vang
nicolas nemil/ohana agape farm,8880 whitesville rd,parsonsburg,md,21849,38.4360925,-75.4312705,chicken,198000,NA,nicolas nemilohana agape farm
nk farm,13582 lawrence 2050,miller,mo,65707,37.206741895,-93.815875035,chicken,145587,1165,nk farm
noblin farms,blackmon road,brantley,al,36009,31.551111,-86.321667,chicken,NA,NA,noblin farms
north delta poultry llc - mingo 23 farm,11783 county road 491,dudley,mo,63936,36.788887785,-90.173417319,chicken,200000,1600,north delta poultry llc  mingo 23 farm
northey farms,22761 county road 85,opp,al,36467,31.318852,-86.286639,chicken,NA,NA,northey farms
northridge & clearview farms,1204 county road 665,henagar,al,35978,34.60854,-85.712832,chicken,NA,NA,northridge  clearview farms
northside farm,david taylor,elba,al,NA,31.500278,-86.021667,chicken,NA,NA,northside farm
nunley farm llc,12527 highway 23,vina,al,35593,34.424142,-88.042248,chicken,NA,NA,nunley farm llc
oak & alley farms and gman farms,2172 county road 57,ozark,al,36360,31.5394,-85.5182,chicken,NA,NA,oak  alley farms and gman farms
oak hollow farm,cr14 and hwy 239,banks,al,36053,31.976111,-85.640278,chicken,NA,NA,oak hollow farm
old mcdonald farm,271 county road 778,ider,al,35981,34.74053,-85.6361,chicken,NA,NA,old mcdonald farm
ole hamn farm,county road 775,ider,al,35981,34.73916,-85.66605,chicken,NA,NA,ole hamn farm
opal foods neosho farms,17331 hwy d,neosho,mo,64850,36.796451601,-94.343748812,chicken,1500000,12000,opal foods neosho farms
"opal foods, llc - anderson",2950 f highway,anderson,mo,64831,36.674492234,-94.491951141,chicken,875700,29190,opal foods llc  anderson
"opal foods, llc - top notch",1218 apple road,carthage,mo,64836,37.072719907,-94.300946253,chicken,181454,6048,opal foods llc  top notch
osborn poultry,4778 hwy 227 s,crossville,al,35962,34.244167,-85.9775,chicken,NA,NA,osborn poultry
oscar t. rentschler/black lab acres,33046 ed boston rd,princess anne,md,21853,38.1919997,-75.6055723,chicken,142000,NA,oscar t rentschlerblack lab acres
otter slough farm,12450 county road 660,dexter,mo,63841,36.708303563,-90.058115866,chicken,200000,1600,otter slough farm
our dream farm llc/our dream farm,11429 holly road,ridgely,md,21660,38.9205512,-75.856374,chicken,150000,NA,our dream farm llcour dream farm
outlaw farm nl&j farm,co 61; right on christian rd; houses on right,hartford,al,NA,31.0525,-85.723056,chicken,NA,NA,outlaw farm nlj farm
"outlaw farms, inc. - leaning oak",coe road,hartford,al,36344,31.09297,-85.66404,chicken,NA,NA,outlaw farms inc  leaning oak
owens farm,1001 craze road,trinity,al,35640,34.443547,-87.055908,chicken,NA,NA,owens farm
p & g burgett farm,4554 county hwy 157,hamilton,al,NA,34.22424,-88.1133,chicken,NA,NA,p  g burgett farm
p & p poultry farms,intersection of cr 18 and cr 20,ozark,al,36360,31.379444,-85.563611,chicken,NA,NA,p  p poultry farms
p&w poultry llc,3470 county road 4,piedmont,al,36272,33.994473,-85.550199,chicken,NA,NA,pw poultry llc
p.d. davis farm #1 and #2,9315 county road 7708,troy,al,36081,31.94682,-85.91572,chicken,NA,NA,pd davis farm 1 and 2
paige wehunt farm,5393 hwy 81,phil campbell,al,NA,34.356527,-87.641781,chicken,NA,NA,paige wehunt farm
parker farms,2595 county road 494,fort payne,al,35968,34.484696,-85.755787,chicken,NA,NA,parker farms
"parks finishing c9, llc",rr 1 box 20,coatsville,mo,63535,40.556107634,-92.628410264,chicken,NA,1984,parks finishing c9 llc
parsons farm,76 baxter road,clayton,al,36016,31.721389,-85.4625,chicken,NA,NA,parsons farm
parvar inc./allen bank farm,6811 cherry walk rd,hebron,md,21830,38.3848244,-75.7898284,chicken,90000,NA,parvar incallen bank farm
pat layfield farm,13831 allen rd,princess anne,md,21853,38.260401,-75.67926,chicken,40000,NA,pat layfield farm
patterson farm,1916 county road 479,kinston,al,36453,31.21433,-86.18798,chicken,NA,NA,patterson farm
patti williams farm,80 county road 111,crossville,al,35962,34.35619,-86.07982,chicken,NA,NA,patti williams farm
"patton farms, inc.",2860 county road 68,fayette,al,35555,33.584909,-87.700989,chicken,NA,NA,patton farms inc
paul aaron hutchison sr./home farm,9601 chapel rd,easton,md,21601,38.8086792,-76.0262768,chicken,98000,NA,paul aaron hutchison srhome farm
